count,lemma
18,mind
10,child
8,resemblance
4,arm
4,name
4,responsibility
4,fruit
4,tax
3,hand
3,park
3,relationship
3,problem
3,country
3,mountain
3,burden
2,consequence
2,""
2,fact
2,man
2,figure
2,litter
2,point
2,meat
2,label
2,degree
2,relation
2,sorrow
2,hug
2,market
2,close
2,title
2,treasury
2,load
2,human
1,sword
1,gas
1,plane
1,republican
1,cub
1,attack
1,mammoth
1,drawing
1,countenance
1,glory
1,westerner
1,world
1,nation
1,raid
1,mark
1,ogre
1,matter
1,superlative
1,public
1,bull
1,turk
1,committee
1,change
1,plan
1,production
1,final
1,event
1,clay
1,birthday
1,alligator
1,trap
1,owl
1,gift
1,message
1,passage
1,hat
1,nose
1,milk-bottle
1,stance
1,physique
1,complaint
1,argument
1,peach
1,chamber
1,share
1,bruin
1,storm-tossed
1,painting
1,government
1,parent
1,patient
1,shoe
1,sailor
1,general
1,record
1,cut
1,inflation
1,comparison
1,shock
1,leopard
1,winner
1,face
1,flower
1,satan
1,letter
1,royalty
1,doctor
1,profit
1,wife
1,railroad
1,trout
1,assistance
1,honor
1,four-foot
1,conclusion
1,defeat
1,battle
1,crowd
1,union
1,imprint
1,rug
1,flavor
1,dispatch
1,ability
1,cushion
1,cross
1,stewardship
1,firm
1,supplier
1,signal
1,clown
1,study
1,blame
1,danger
1,trade
1,marine
1,equanimity
1,word
1,rain
1,character
1,salmon
1,date
1,murmur
1,bearing
1,temperature
1,house
1,hardship
1,antelope
1,malice
1,shame
1,grudge
1,proof
1,weight
1,empire
1,thing
1,jump
1,stock
1,region
1,newspaper
1,adjustment
1,king
1,initial
1,composer
1,row
1,collection
1,earring
1,fat
1,friction
1,admonition
1,air
1,beebe
1,corner
1,coyote
1,protest
1,rub
1,head
1,cotton
1,life
1,giant
1,button
1,cake
1,grotesque
1,glance
1,offspring
1,publisher
1,fate
1,brannan
1,down
1,edge
1,province
1,policy
1,estonians
1,invasion
1,outcome
1,contention
1,twin
1,part
1,dicker
1,growl
1,story
1,politics
1,picture
1,pot
1,chinese
1,crop
1,partridge
1,dress
1,collar
1,girl
1,party
1,history
1,integration
1,demand
1,ski
1,brunt
1,equalization
1,organization
1,other
1,right
1,elevator
