lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MOTHER],24.0,8.0,12.0,24.0,18.0,18.0,9.0,20.0,27.0,18.0,22.0,20.0,11.0,23.0,20.0,12.0,20.0,21.0,27.0,354.0
[LETTER],32.0,28.0,20.0,14.0,25.0,35.0,20.0,28.0,17.0,31.0,13.0,11.0,24.0,14.0,17.0,5.0,5.0,9.0,6.0,354.0
[COUNTRY],30.0,16.0,24.0,20.0,18.0,14.0,19.0,23.0,22.0,18.0,11.0,17.0,30.0,10.0,18.0,13.0,17.0,15.0,15.0,350.0
[POCKET],22.0,11.0,21.0,11.0,21.0,26.0,40.0,27.0,11.0,30.0,23.0,22.0,26.0,10.0,23.0,9.0,10.0,2.0,4.0,349.0
[RIGHT],5.0,18.0,25.0,13.0,18.0,15.0,16.0,23.0,11.0,18.0,17.0,22.0,17.0,16.0,15.0,16.0,15.0,32.0,29.0,341.0
[TRAIN],1.0,2.0,2.0,3.0,8.0,25.0,23.0,15.0,31.0,19.0,28.0,35.0,30.0,18.0,25.0,20.0,17.0,16.0,19.0,337.0
[--],2.0,12.0,12.0,14.0,26.0,21.0,20.0,15.0,7.0,12.0,11.0,15.0,14.0,15.0,19.0,24.0,34.0,34.0,26.0,333.0
[WOMAN],9.0,6.0,5.0,12.0,13.0,17.0,13.0,17.0,10.0,18.0,29.0,24.0,29.0,16.0,17.0,18.0,25.0,20.0,30.0,328.0
[EFFECT],18.0,23.0,25.0,24.0,25.0,19.0,19.0,16.0,10.0,10.0,8.0,19.0,13.0,9.0,24.0,20.0,19.0,10.0,16.0,327.0
[FIELD],27.0,14.0,33.0,15.0,24.0,20.0,21.0,18.0,25.0,14.0,11.0,15.0,28.0,14.0,5.0,8.0,10.0,11.0,12.0,325.0
[GLASS],14.0,19.0,15.0,14.0,19.0,13.0,17.0,17.0,6.0,18.0,15.0,15.0,21.0,30.0,27.0,14.0,21.0,20.0,10.0,325.0
[PIECE],16.0,21.0,8.0,18.0,13.0,18.0,24.0,23.0,14.0,16.0,8.0,14.0,29.0,13.0,15.0,21.0,13.0,19.0,19.0,322.0
[BOY],16.0,11.0,10.0,19.0,28.0,18.0,9.0,15.0,23.0,19.0,23.0,16.0,31.0,17.0,12.0,19.0,8.0,13.0,13.0,320.0
